thisN,thisTrialN,thisRepN,effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3,rect_choice.keys,rect_choice.rt,rect_choice.duration,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,consent.started,agree_button.started,decline_button.started,consent_img.started,mouse.started,consent.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,exp_params.started,exp_params.stopped,welcome.started,welcome_text.started,welcome.stopped,instructions_1.started,instructions_1_text_1.started,instructions_1_text_2.started,key_resp.started,instructions_1.stopped,instructions_loop.key_resp.keys,instructions_loop.key_resp.rt,instructions_loop.key_resp.duration,instructions_2.started,instructions_2_text_1.started,instructions_2_text_2.started,key_resp_2.started,instructions_2.stopped,instructions_loop.key_resp_2.keys,instructions_loop.key_resp_2.rt,instructions_loop.key_resp_2.duration,instructions_3.started,instructions_3_text_1.started,r1_instr3.started,r2_instr3.started,r3_instr3.started,r1_instr3_label.started,r2_instr3_label.started,r3_instr3_label.started,instructions_3_text_3.started,instructions_3_text_4.started,key_resp_3.started,instructions_3.stopped,instructions_loop.key_resp_3.keys,instructions_loop.key_resp_3.rt,instructions_loop.key_resp_3.duration,instructions_4.started,instructions_4_text_1.started,instructions_4_text_3.started,instructions_4_text_2.started,key_resp_4.started,instructions_4.stopped,instructions_loop.key_resp_4.keys,instructions_loop.key_resp_4.rt,instructions_loop.key_resp_4.duration,instructions_5.started,instructions_5_text_1.started,instructions_5_text_2.started,key_resp_5.started,instructions_5.stopped,instructions_loop.key_resp_5.keys,instructions_loop.key_resp_5.rt,instructions_loop.key_resp_5.duration,start_exp.started,start_exp_text.started,key_resp_6.started,start_exp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,h_1_tmp,w_1_tmp,h_2_tmp,w_2_tmp,h_3_tmp,w_3_tmp,config_tmp,config_tmp_1,r_1_x,r_1_y,r_2_x,r_2_y,r_3_x,r_3_y,pre_trial.started,pre_trial.stopped,choice_trial.started,rect_choice.started,r_1.started,r_2.started,r_3.started,r_1_label.started,r_2_label.started,r_3_label.started,prompt.started,choice_trial.stopped,trials.rect_choice.keys,trials.rect_choice.rt,trials.rect_choice.duration,end_block.started,end_block_text.started,end_block.stopped,end.started,end_text.started,key_resp_7.started,end.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,debriefing.started,debrief_form.started,end_debrief.started,debriefing.stopped,end_debrief.keys,end_debrief.rt,end_debrief.duration,participant,computer,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015293598175048828,0.0318911075592041,0.0318911075592041,0.0318911075592041,0.015094757080078125,4.364766597747803,1,[4.330497980117798],[4.330517768859863],0,,,"[-125.0, -83.0]","[-497.0, -493.0]","[1, 1]","[0, 0]","[0, 0]","[3.8325541019439697, 4.349053859710693]","[None, 'agree_button']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,2,2025-02-25_16h33.13.214,comp,2024.2.4,53.6525475437894,2025-02-25 16h34.12.934828 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.365368366241455,4.365436792373657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,2,2025-02-25_16h33.13.214,comp,2024.2.4,53.6525475437894,2025-02-25 16h34.12.934828 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.365480422973633,4.381565809249878,6.369118690490723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,2,2025-02-25_16h33.13.214,comp,2024.2.4,53.6525475437894,2025-02-25 16h34.12.934828 -0500,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,6.384259223937988,,,,,,,,,,,,,,,,,,,,,,,,,,6.370011806488037,6.384259223937988,6.384259223937988,7.869415760040283,9.937358379364014,space,2.057403326034546,None,9.937505006790161,9.958639860153198,9.958639860153198,11.437065839767456,14.49005937576294,space,3.042451858520508,None,14.490208625793457,14.519790410995483,14.519790410995483,14.519790410995483,14.519790410995483,14.519790410995483,14.519790410995483,14.519790410995483,14.519790410995483,14.519790410995483,15.989997625350952,20.143343687057495,space,4.136999130249023,None,20.143499851226807,20.1603262424469,20.1603262424469,20.1603262424469,21.656841278076172,25.92695450782776,space,4.2627081871032715,None,25.927109003067017,25.9448504447937,25.9448504447937,27.43012809753418,27.858121156692505,space,0.4169449806213379,None,27.858370065689087,27.873347997665405,27.873347997665405,28.511234760284424,space,0.6298394203186035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,2,2025-02-25_16h33.13.214,comp,2024.2.4,53.6525475437894,2025-02-25 16h34.12.934828 -0500,
0,0,0,critical,whd,35.0,1.0,lower,57.0,133.0,133.0,57.0,70.0,70.0,1,4.399894952774048,None,,,,,0,0,0,0,0,0,0,84,28.583741426467896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,133.0,133.0,57.0,70.0,70.0,1.0,1.1,-671,255,-480,283,-320,251,28.567057609558105,28.567091703414917,28.568360090255737,28.583741426467896,28.73507857322693,28.73507857322693,28.73507857322693,28.73507857322693,28.73507857322693,28.73507857322693,28.73507857322693,32.99594330787659,1,4.399894952774048,None,,,,,,,,,,,,,,,,,,119,2,2025-02-25_16h33.13.214,comp,2024.2.4,53.6525475437894,2025-02-25 16h34.12.934828 -0500,
1,1,0,filler_square,None,None,None,None,None,None,None,None,None,None,3,2.634798765182495,None,,,,,0,0,0,0,0,1,1,181,33.01214790344238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.45411024053504,57.31800354609835,66.31524932613206,65.76936806231942,74.54304456633001,74.54304456633001,1.0,1.2,-158,1,0,2,166,4,32.997817277908325,32.99790048599243,33.0018789768219,33.01214790344238,33.16215181350708,33.16215181350708,33.16215181350708,33.16215181350708,33.16215181350708,33.16215181350708,33.16215181350708,35.663553953170776,3,2.634798765182495,None,,,,,,,,,,,,,,,,,,119,2,2025-02-25_16h33.13.214,comp,2024.2.4,53.6525475437894,2025-02-25 16h34.12.934828 -0500,
2,2,0,critical,wdh,35.0,4.0,upper,125.0,200.0,127.0,127.0,200.0,125.0,1,2.280388832092285,None,,,,,0,0,0,0,0,2,2,77,35.67916393280029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,200.0,127.0,127.0,200.0,125.0,4.0,4.1,-260,-275,0,-16,222,-251,35.66514301300049,35.66522240638733,35.66875886917114,35.67916393280029,35.83906602859497,35.83906602859497,35.83906602859497,35.83906602859497,35.83906602859497,35.83906602859497,35.83906602859497,37.96820116043091,1,2.280388832092285,None,,,,,,,,,,,,,,,,,,119,2,2025-02-25_16h33.13.214,comp,2024.2.4,53.6525475437894,2025-02-25 16h34.12.934828 -0500,
3,3,0,filler_random,None,None,None,None,None,None,None,None,None,None,3,2.2264046669006348,None,,,,,0,0,0,0,0,3,3,137,37.988505363464355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.77055749568737,74.25442396381074,168.37288328634384,81.93783819983399,146.16112094618734,126.61487079896418,2.1,2.11,-174,251,0,258,200,-267,37.96989345550537,37.969969511032104,37.97292709350586,37.988505363464355,38.130253314971924,38.130253314971924,38.130253314971924,38.130253314971924,38.130253314971924,38.130253314971924,38.130253314971924,40.23259902000427,3,2.2264046669006348,None,,,,,,,,,,,,,,,,,,119,2,2025-02-25_16h33.13.214,comp,2024.2.4,53.6525475437894,2025-02-25 16h34.12.934828 -0500,
4,4,0,critical,hwd,35.0,2.1,upper,200.0,125.0,125.0,200.0,127.0,127.0,2,2.356518507003784,None,,,,,0,0,0,0,0,4,4,41,40.25034713745117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,125.0,125.0,200.0,127.0,127.0,2.1,2.12,-258,-261,0,-285,260,288,40.23417544364929,40.2342472076416,40.23765683174133,40.25034713745117,40.39990496635437,40.39990496635437,40.39990496635437,40.39990496635437,40.39990496635437,40.39990496635437,40.39990496635437,42.617286920547485,2,2.356518507003784,None,,,,,,,,,,,,,,,,,,119,2,2025-02-25_16h33.13.214,comp,2024.2.4,53.6525475437894,2025-02-25 16h34.12.934828 -0500,
5,5,0,critical,wdh,20.0,2.1,upper,125.0,200.0,141.0,141.0,200.0,125.0,3,5.3489601612091064,None,,,,,0,0,0,0,0,5,5,11,42.63408422470093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,200.0,141.0,141.0,200.0,125.0,2.1,2.12,-266,-263,0,-272,229,267,42.61920714378357,42.619287729263306,42.62321162223816,42.63408422470093,42.78672742843628,42.78672742843628,42.78672742843628,42.78672742843628,42.78672742843628,42.78672742843628,42.78672742843628,48.009024143218994,3,5.3489601612091064,None,,,,,,,,,,,,,,,,,,119,2,2025-02-25_16h33.13.214,comp,2024.2.4,53.6525475437894,2025-02-25 16h34.12.934828 -0500,
