thisN,thisTrialN,thisRepN,effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3,rect_choice.keys,rect_choice.rt,rect_choice.duration,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,consent.started,agree_button.started,decline_button.started,consent_img.started,mouse.started,consent.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,exp_params.started,exp_params.stopped,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,instructions_1.started,instructions_1_text_1.started,instructions_1_text_2.started,key_resp.started,instructions_1.stopped,instructions_loop.key_resp.keys,instructions_loop.key_resp.rt,instructions_loop.key_resp.duration,instructions_2.started,instructions_2_text_1.started,instructions_2_text_2.started,key_resp_2.started,instructions_2.stopped,instructions_loop.key_resp_2.keys,instructions_loop.key_resp_2.rt,instructions_loop.key_resp_2.duration,instructions_3.started,instructions_3_text_1.started,r1_instr3.started,r2_instr3.started,r3_instr3.started,r1_instr3_label.started,r2_instr3_label.started,r3_instr3_label.started,instructions_3_text_3.started,instructions_3_text_4.started,key_resp_3.started,instructions_3.stopped,instructions_loop.key_resp_3.keys,instructions_loop.key_resp_3.rt,instructions_loop.key_resp_3.duration,instructions_4.started,instructions_4_text_1.started,instructions_4_text_3.started,instructions_4_text_2.started,key_resp_4.started,instructions_4.stopped,instructions_loop.key_resp_4.keys,instructions_loop.key_resp_4.rt,instructions_loop.key_resp_4.duration,instructions_5.started,instructions_5_text_1.started,instructions_5_text_2.started,key_resp_5.started,instructions_5.stopped,instructions_loop.key_resp_5.keys,instructions_loop.key_resp_5.rt,instructions_loop.key_resp_5.duration,start_exp.started,start_exp_text.started,key_resp_6.started,start_exp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,h_1_tmp,w_1_tmp,h_2_tmp,w_2_tmp,h_3_tmp,w_3_tmp,config_tmp,config_tmp_1,r_1_x,r_1_y,r_2_x,r_2_y,r_3_x,r_3_y,pre_trial.started,pre_trial.stopped,choice_trial.started,rect_choice.started,r_1.started,r_2.started,r_3.started,r_1_label.started,r_2_label.started,r_3_label.started,prompt.started,choice_trial.stopped,trials.rect_choice.keys,trials.rect_choice.rt,trials.rect_choice.duration,end_block.started,end_block_text.started,end_block.stopped,end.started,end_text.started,key_resp_7.started,end.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,debriefing.started,debrief_form.started,end_debrief.started,debriefing.stopped,end_debrief.keys,end_debrief.rt,end_debrief.duration,participant,computer,date,expName,psychopyVersion,frameRate,expStart,
6,6,0,critical,whd,35.0,3.0,upper,125.0,200.0,200.0,125.0,127.0,127.0,1,6.027742624282837,None,,,,,0,0,0,0,0,6,6,87,102.71518182754517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,200.0,200.0,125.0,127.0,127.0,3.0,3.2,-258,-285,0,-1,222,257,102.70091581344604,102.70101141929626,102.70490217208862,102.71518182754517,102.86612129211426,102.86612129211426,102.86612129211426,102.86612129211426,102.86612129211426,102.86612129211426,102.86612129211426,108.7520923614502,1,6.027742624282837,None,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
7,7,0,critical,dhw,35.0,1.0,lower,70.0,70.0,133.0,57.0,57.0,133.0,2,8.237724304199219,None,,,,,0,0,0,0,0,7,7,48,108.76819062232971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,70.0,133.0,57.0,57.0,133.0,1.0,1.1,-640,287,-480,258,-289,272,108.75374054908752,108.75381684303284,108.75731539726257,108.76819062232971,108.9170651435852,108.9170651435852,108.9170651435852,108.9170651435852,108.9170651435852,108.9170651435852,108.9170651435852,117.01917624473572,2,8.237724304199219,None,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
8,8,0,critical,hdw,35.0,2.1,lower,133.0,57.0,70.0,70.0,57.0,133.0,3,5.743042707443237,None,,,,,0,0,0,0,0,8,8,44,117.03893518447876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,57.0,70.0,70.0,57.0,133.0,2.1,2.11,-160,252,0,255,198,-276,117.02079343795776,117.02086758613586,117.02418303489685,117.03893518447876,117.17821216583252,117.17821216583252,117.17821216583252,117.17821216583252,117.17821216583252,117.17821216583252,117.17821216583252,122.79778957366943,3,5.743042707443237,None,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
9,9,0,filler_square,None,None,None,None,None,None,None,None,None,None,3,2.6717562675476074,None,,,,,0,0,0,0,0,9,9,191,122.81454181671143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.8000649456767,104.36541839355093,102.68260814078081,136.60024157526556,172.45048420298465,172.45048420298465,1.0,1.3,264,-263,480,-267,731,-281,122.7998423576355,122.79992175102234,122.80318236351013,122.81454181671143,122.95574164390564,122.95574164390564,122.95574164390564,122.95574164390564,122.95574164390564,122.95574164390564,122.95574164390564,125.48826456069946,3,2.6717562675476074,None,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
10,10,0,critical,wdh,20.0,2.1,lower,57.0,133.0,78.0,78.0,133.0,57.0,3,17.390635013580322,None,,,,,0,0,0,0,0,10,10,10,125.50383615493774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,133.0,78.0,78.0,133.0,57.0,2.1,2.11,-202,278,0,267,164,-268,125.48974990844727,125.48982381820679,125.49288272857666,125.50383615493774,125.65602898597717,125.65602898597717,125.65602898597717,125.65602898597717,125.65602898597717,125.65602898597717,125.65602898597717,142.91123604774475,3,17.390635013580322,None,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
11,11,0,critical,hdw,35.0,2.1,lower,133.0,57.0,70.0,70.0,57.0,133.0,1,5.808387517929077,None,,,,,0,0,0,0,0,11,11,20,142.9264464378357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,57.0,70.0,70.0,57.0,133.0,2.1,2.12,-160,-278,0,-284,198,277,142.91286444664001,142.91294264793396,142.91622591018677,142.9264464378357,143.08103847503662,143.08103847503662,143.08103847503662,143.08103847503662,143.08103847503662,143.08103847503662,143.08103847503662,148.74733638763428,1,5.808387517929077,None,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
12,12,0,filler_random,None,None,None,None,None,None,None,None,None,None,1,6.114331007003784,None,,,,,0,0,0,0,0,12,12,152,148.7635796070099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.95080766894057,198.35451243796535,174.37586684591298,110.35893579985714,182.95952722528688,105.92109991611238,4.0,4.1,-250,-255,0,8,204,-280,148.74909615516663,148.74917674064636,148.7525496482849,148.7635796070099,148.91265177726746,148.91265177726746,148.91265177726746,148.91265177726746,148.91265177726746,148.91265177726746,148.91265177726746,154.89321422576904,1,6.114331007003784,None,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
13,13,0,critical,dhw,20.0,2.1,upper,141.0,141.0,200.0,125.0,125.0,200.0,3,6.7304863929748535,None,,,,,0,0,0,0,0,13,13,3,154.90965843200684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,141.0,200.0,125.0,125.0,200.0,2.1,2.12,-229,-283,0,-270,258,270,154.8949167728424,154.89505243301392,154.8983075618744,154.90965843200684,155.04808473587036,155.04808473587036,155.04808473587036,155.04808473587036,155.04808473587036,155.04808473587036,155.04808473587036,161.65095829963684,3,6.7304863929748535,None,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
14,14,0,critical,whd,20.0,3.0,upper,125.0,200.0,200.0,125.0,141.0,141.0,3,6.050832748413086,None,,,,,0,0,0,0,0,14,14,93,161.66706943511963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,200.0,200.0,125.0,141.0,141.0,3.0,3.1,-258,288,0,10,229,-259,161.65258502960205,161.6526689529419,161.65612626075745,161.66706943511963,161.81601905822754,161.81601905822754,161.81601905822754,161.81601905822754,161.81601905822754,161.81601905822754,161.81601905822754,167.7357246875763,3,6.050832748413086,None,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
15,15,0,filler_square,None,None,None,None,None,None,None,None,None,None,2,4.238135814666748,None,,,,,0,0,0,0,0,15,15,202,167.75187945365906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.52625751335893,118.94729459161643,129.12070255522798,129.12070255522798,83.2766180301439,114.99139953353806,2.2,2.21,-220,-270,0,250,218,252,167.73784041404724,167.73792004585266,167.74157619476318,167.75187945365906,167.90088295936584,167.90088295936584,167.90088295936584,167.90088295936584,167.90088295936584,167.90088295936584,167.90088295936584,172.0036232471466,2,4.238135814666748,None,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
