thisN,thisTrialN,thisRepN,effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3,rect_choice.keys,rect_choice.rt,rect_choice.duration,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,consent.started,agree_button.started,decline_button.started,consent_img.started,mouse.started,consent.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,exp_params.started,exp_params.stopped,welcome.started,welcome_text.started,welcome.stopped,instructions_1.started,instructions_1_text_1.started,instructions_1_text_2.started,key_resp.started,instructions_1.stopped,instructions_loop.key_resp.keys,instructions_loop.key_resp.rt,instructions_loop.key_resp.duration,instructions_2.started,instructions_2_text_1.started,instructions_2_text_2.started,key_resp_2.started,instructions_2.stopped,instructions_loop.key_resp_2.keys,instructions_loop.key_resp_2.rt,instructions_loop.key_resp_2.duration,instructions_3.started,instructions_3_text_1.started,r1_instr3.started,r2_instr3.started,r3_instr3.started,r1_instr3_label.started,r2_instr3_label.started,r3_instr3_label.started,instructions_3_text_3.started,instructions_3_text_4.started,key_resp_3.started,instructions_3.stopped,instructions_loop.key_resp_3.keys,instructions_loop.key_resp_3.rt,instructions_loop.key_resp_3.duration,instructions_4.started,instructions_4_text_1.started,instructions_4_text_3.started,instructions_4_text_2.started,key_resp_4.started,instructions_4.stopped,instructions_loop.key_resp_4.keys,instructions_loop.key_resp_4.rt,instructions_loop.key_resp_4.duration,instructions_5.started,instructions_5_text_1.started,instructions_5_text_2.started,key_resp_5.started,instructions_5.stopped,instructions_loop.key_resp_5.keys,instructions_loop.key_resp_5.rt,instructions_loop.key_resp_5.duration,start_exp.started,start_exp_text.started,key_resp_6.started,start_exp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,h_1_tmp,w_1_tmp,h_2_tmp,w_2_tmp,h_3_tmp,w_3_tmp,config_tmp,config_tmp_1,r_1_x,r_1_y,r_2_x,r_2_y,r_3_x,r_3_y,pre_trial.started,pre_trial.stopped,choice_trial.started,rect_choice.started,r_1.started,r_2.started,r_3.started,r_1_label.started,r_2_label.started,r_3_label.started,prompt.started,choice_trial.stopped,trials.rect_choice.keys,trials.rect_choice.rt,trials.rect_choice.duration,end_block.started,end_block_text.started,end_block.stopped,end.started,end_text.started,key_resp_7.started,end.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,debriefing.started,debrief_form.started,end_debrief.started,debriefing.stopped,end_debrief.keys,end_debrief.rt,end_debrief.duration,participant,computer,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014679670333862305,0.038809776306152344,0.038809776306152344,0.038809776306152344,0.014496564865112305,10.960725545883179,1,[10.919655799865723],[10.919683933258057],0,,,[-108.0],[-537.0],[1],[0],[0],[10.945524215698242],['agree_button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,2,2025-03-07_09h59.18.083,comp,2024.2.4,56.97497575275141,2025-03-07 09h59.25.574689 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.96127200126648,10.961330890655518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,2,2025-03-07_09h59.18.083,comp,2024.2.4,56.97497575275141,2025-03-07 09h59.25.574689 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.96136999130249,10.979327917098999,12.968750476837158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,2,2025-03-07_09h59.18.083,comp,2024.2.4,56.97497575275141,2025-03-07 09h59.25.574689 -0500,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,12.985499620437622,,,,,,,,,,,,,,,,,,,,,,,,,,12.969635963439941,12.985499620437622,12.985499620437622,14.46738862991333,18.423808336257935,space,3.9443414211273193,None,18.423954248428345,18.44240927696228,18.44240927696228,19.9375,28.457996129989624,space,8.514322757720947,None,28.45814561843872,28.48853850364685,28.48853850364685,28.48853850364685,28.48853850364685,28.48853850364685,28.48853850364685,28.48853850364685,28.48853850364685,28.48853850364685,29.972925424575806,31.46785879135132,space,1.4868600368499756,None,31.46801495552063,31.484768390655518,31.484768390655518,31.484768390655518,32.97354769706726,42.05970358848572,space,9.078219175338745,None,42.059855937957764,42.07717680931091,42.07717680931091,43.56165051460266,44.67946100234985,space,1.113633632659912,None,44.67968678474426,44.69507122039795,44.69507122039795,45.596957206726074,space,0.8927161693572998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,2,2025-03-07_09h59.18.083,comp,2024.2.4,56.97497575275141,2025-03-07 09h59.25.574689 -0500,
0,0,0,filler_random,None,None,None,None,None,None,None,None,None,None,1,3.968172073364258,None,,,,,0,0,0,0,0,0,0,130,45.67546463012695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.33146912063532,188.56183325418056,126.633749310116,148.75249638651746,82.71737186170424,73.94733717392852,4.0,4.2,-265,-17,0,-274,207,-17,45.65872931480408,45.658767223358154,45.660173177719116,45.67546463012695,45.82107925415039,45.82107925415039,45.82107925415039,45.82107925415039,45.82107925415039,45.82107925415039,45.82107925415039,49.648221015930176,1,3.968172073364258,None,,,,,,,,,,,,,,,,,,207,2,2025-03-07_09h59.18.083,comp,2024.2.4,56.97497575275141,2025-03-07 09h59.25.574689 -0500,
1,1,0,filler_random,None,None,None,None,None,None,None,None,None,None,1,2.699127197265625,None,,,,,0,0,0,0,0,1,1,156,49.664522647857666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.03538175605115,156.38013682848177,62.96353261491552,157.97658320071997,132.22667272072425,63.77065430625175,1.0,1.2,-253,12,0,7,207,5,49.64980483055115,49.64986491203308,49.653138637542725,49.664522647857666,49.81403088569641,49.81403088569641,49.81403088569641,49.81403088569641,49.81403088569641,49.81403088569641,49.81403088569641,52.37170100212097,1,2.699127197265625,None,,,,,,,,,,,,,,,,,,207,2,2025-03-07_09h59.18.083,comp,2024.2.4,56.97497575275141,2025-03-07 09h59.25.574689 -0500,
2,2,0,critical,wdh,35.0,4.0,lower,57.0,133.0,70.0,70.0,133.0,57.0,3,3.407672166824341,None,,,,,0,0,0,0,0,2,2,76,52.38790559768677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,133.0,70.0,70.0,133.0,57.0,4.0,4.1,-198,-267,0,-4,160,-270,52.37340331077576,52.37353849411011,52.376983404159546,52.38790559768677,52.53404498100281,52.53404498100281,52.53404498100281,52.53404498100281,52.53404498100281,52.53404498100281,52.53404498100281,55.7994430065155,3,3.407672166824341,None,,,,,,,,,,,,,,,,,,207,2,2025-03-07_09h59.18.083,comp,2024.2.4,56.97497575275141,2025-03-07 09h59.25.574689 -0500,
3,3,0,filler_random,None,None,None,None,None,None,None,None,None,None,1,1.2813208103179932,None,,,,,0,0,0,0,0,3,3,166,55.817771196365356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.30888238733172,171.39330639284168,70.33561013015938,103.9546039814012,117.84171276615385,108.99323522001546,1.0,1.1,-714,269,-480,273,-278,260,55.801159143447876,55.80123949050903,55.80461382865906,55.817771196365356,55.96765375137329,55.96765375137329,55.96765375137329,55.96765375137329,55.96765375137329,55.96765375137329,55.96765375137329,57.1110417842865,1,1.2813208103179932,None,,,,,,,,,,,,,,,,,,207,2,2025-03-07_09h59.18.083,comp,2024.2.4,56.97497575275141,2025-03-07 09h59.25.574689 -0500,
4,4,0,critical,wdh,35.0,1.0,lower,57.0,133.0,70.0,70.0,133.0,57.0,3,4.523452520370483,None,,,,,0,0,0,0,0,4,4,72,57.127697467803955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,133.0,70.0,70.0,133.0,57.0,1.0,1.3,282,-259,480,-268,640,-253,57.112526655197144,57.11264109611511,57.11581993103027,57.127697467803955,57.27328014373779,57.27328014373779,57.27328014373779,57.27328014373779,57.27328014373779,57.27328014373779,57.27328014373779,61.66977119445801,3,4.523452520370483,None,,,,,,,,,,,,,,,,,,207,2,2025-03-07_09h59.18.083,comp,2024.2.4,56.97497575275141,2025-03-07 09h59.25.574689 -0500,
5,5,0,critical,hdw,20.0,2.1,upper,200.0,125.0,141.0,141.0,125.0,200.0,3,4.327111721038818,None,,,,,0,0,0,0,0,5,5,23,61.68408393859863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,125.0,141.0,141.0,125.0,200.0,2.1,2.12,-229,-284,0,-278,266,276,61.671326875686646,61.67145586013794,61.67477774620056,61.68408393859863,61.83533024787903,61.83533024787903,61.83533024787903,61.83533024787903,61.83533024787903,61.83533024787903,61.83533024787903,66.02428197860718,3,4.327111721038818,None,,,,,,,,,,,,,,,,,,207,2,2025-03-07_09h59.18.083,comp,2024.2.4,56.97497575275141,2025-03-07 09h59.25.574689 -0500,
6,6,0,catch,None,None,None,None,None,None,None,None,None,None,3,1.2922372817993164,None,,,,,0,0,0,0,0,6,6,124,66.03971290588379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,98,68,122,143,182,4.0,4.1,-206,-281,0,18,248,-265,66.0261778831482,66.02625370025635,66.02936792373657,66.03971290588379,66.1853244304657,66.1853244304657,66.1853244304657,66.1853244304657,66.1853244304657,66.1853244304657,66.1853244304657,67.3379590511322,3,1.2922372817993164,None,,,,,,,,,,,,,,,,,,207,2,2025-03-07_09h59.18.083,comp,2024.2.4,56.97497575275141,2025-03-07 09h59.25.574689 -0500,
