thisN,thisTrialN,thisRepN,effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3,rect_choice.keys,rect_choice.rt,rect_choice.duration,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,consent.started,agree_button.started,decline_button.started,consent_img.started,mouse.started,consent.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,exp_params.started,exp_params.stopped,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,instructions_1.started,instructions_1_text_1.started,instructions_1_text_2.started,key_resp.started,instructions_1.stopped,instructions_loop.key_resp.keys,instructions_loop.key_resp.rt,instructions_loop.key_resp.duration,instructions_2.started,instructions_2_text_1.started,instructions_2_text_2.started,key_resp_2.started,instructions_2.stopped,instructions_loop.key_resp_2.keys,instructions_loop.key_resp_2.rt,instructions_loop.key_resp_2.duration,instructions_3.started,instructions_3_text_1.started,r1_instr3.started,r2_instr3.started,r3_instr3.started,r1_instr3_label.started,r2_instr3_label.started,r3_instr3_label.started,instructions_3_text_3.started,instructions_3_text_4.started,key_resp_3.started,instructions_3.stopped,instructions_loop.key_resp_3.keys,instructions_loop.key_resp_3.rt,instructions_loop.key_resp_3.duration,instructions_4.started,instructions_4_text_1.started,instructions_4_text_3.started,instructions_4_text_2.started,key_resp_4.started,instructions_4.stopped,instructions_loop.key_resp_4.keys,instructions_loop.key_resp_4.rt,instructions_loop.key_resp_4.duration,instructions_5.started,instructions_5_text_1.started,instructions_5_text_2.started,key_resp_5.started,instructions_5.stopped,instructions_loop.key_resp_5.keys,instructions_loop.key_resp_5.rt,instructions_loop.key_resp_5.duration,start_exp.started,start_exp_text.started,key_resp_6.started,start_exp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,h_1_tmp,w_1_tmp,h_2_tmp,w_2_tmp,h_3_tmp,w_3_tmp,config_tmp,config_tmp_1,r_1_x,r_1_y,r_2_x,r_2_y,r_3_x,r_3_y,pre_trial.started,pre_trial.stopped,choice_trial.started,rect_choice.started,r_1.started,r_2.started,r_3.started,r_1_label.started,r_2_label.started,r_3_label.started,prompt.started,choice_trial.stopped,trials.rect_choice.keys,trials.rect_choice.rt,trials.rect_choice.duration,end_block.started,end_block_text.started,end_block.stopped,end.started,end_text.started,key_resp_7.started,end.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,debriefing.started,debrief_form.started,end_debrief.started,debriefing.stopped,end_debrief.keys,end_debrief.rt,end_debrief.duration,participant,computer,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014374732971191406,0.03723621368408203,0.03723621368408203,0.03723621368408203,0.014145851135253906,52.17037534713745,1,[52.13056945800781],[52.13059854507446],0,,,[-78.0],[-516.0],[1],[0],[0],[52.155433654785156],['agree_button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,1,2025-02-24_10h58.19.856,comp,2024.2.4,57.959354008702945,2025-02-24 10h58.39.260728 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.17099595069885,52.171077251434326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,1,2025-02-24_10h58.19.856,comp,2024.2.4,57.959354008702945,2025-02-24 10h58.39.260728 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.17112469673157,52.184792041778564,54.18607544898987,54.16812491416931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,1,2025-02-24_10h58.19.856,comp,2024.2.4,57.959354008702945,2025-02-24 10h58.39.260728 -0500,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,54.18607544898987,,,,,,,,,,,,,,,,,,,,,,,,,,,54.169015407562256,54.18607544898987,54.18607544898987,55.68105506896973,60.13739061355591,space,4.447450399398804,None,60.13753533363342,60.154210567474365,60.154210567474365,61.65059494972229,67.47295379638672,space,5.813906669616699,None,67.4731023311615,67.50494408607483,67.50494408607483,67.50494408607483,67.50494408607483,67.50494408607483,67.50494408607483,67.50494408607483,67.50494408607483,67.50494408607483,68.97325682640076,71.7838020324707,space,2.8031868934631348,None,71.78399801254272,71.8012056350708,71.8012056350708,71.8012056350708,73.2911434173584,75.92612552642822,space,2.6205568313598633,None,75.926278591156,75.94339179992676,75.94339179992676,77.44111704826355,78.16006827354431,space,0.7113909721374512,None,78.16026210784912,78.17311501502991,78.17311501502991,79.07863426208496,space,0.8988707065582275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,1,2025-02-24_10h58.19.856,comp,2024.2.4,57.959354008702945,2025-02-24 10h58.39.260728 -0500,
0,0,0,filler_square,None,None,None,None,None,None,None,None,None,None,2,4.373720645904541,None,,,,,0,0,0,0,0,0,0,182,79.15423965454102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.905792666121854,57.345558911207476,58.06703190826118,58.06703190826118,57.28136266334106,57.89101695830935,2.1,2.12,-154,-267,0,-270,154,268,79.13784670829773,79.13788223266602,79.1391053199768,79.15423965454102,79.30095195770264,79.30095195770264,79.30095195770264,79.30095195770264,79.30095195770264,79.30095195770264,79.30095195770264,83.54389500617981,2,4.373720645904541,None,,,,,,,,,,,,,,,,,,87,1,2025-02-24_10h58.19.856,comp,2024.2.4,57.959354008702945,2025-02-24 10h58.39.260728 -0500,
1,1,0,filler_square,None,None,None,None,None,None,None,None,None,None,1,1.8704488277435303,None,,,,,0,0,0,0,0,1,1,180,83.56134748458862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.40974533644408,129.40974533644408,113.31551973377796,86.98169798340061,71.03552834754582,88.95818695333374,2.1,2.11,-204,269,0,274,184,-267,83.54572820663452,83.54583525657654,83.54903531074524,83.56134748458862,83.71472430229187,83.71472430229187,83.71472430229187,83.71472430229187,83.71472430229187,83.71472430229187,83.71472430229187,85.44774627685547,1,1.8704488277435303,None,,,,,,,,,,,,,,,,,,87,1,2025-02-24_10h58.19.856,comp,2024.2.4,57.959354008702945,2025-02-24 10h58.39.260728 -0500,
2,2,0,filler_random,None,None,None,None,None,None,None,None,None,None,2,1.327268362045288,None,,,,,0,0,0,0,0,2,2,149,85.46475744247437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.44904840603749,89.30299318639925,161.40782593179085,109.6125001019306,99.30523587762072,137.63556576140843,1.0,1.1,-675,279,-480,268,-260,279,85.44970345497131,85.44978094100952,85.45357179641724,85.46475744247437,85.61189031600952,85.61189031600952,85.61189031600952,85.61189031600952,85.61189031600952,85.61189031600952,85.61189031600952,86.79446601867676,2,1.327268362045288,None,,,,,,,,,,,,,,,,,,87,1,2025-02-24_10h58.19.856,comp,2024.2.4,57.959354008702945,2025-02-24 10h58.39.260728 -0500,
3,3,0,filler_square,None,None,None,None,None,None,None,None,None,None,3,1.124962568283081,None,,,,,0,0,0,0,0,3,3,201,86.81097435951233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.05762888975407,158.6652594277766,75.22145201374829,140.94948895273734,182.57035833215446,182.57035833215446,2.1,2.12,-246,-272,0,-282,258,281,86.79625654220581,86.79633283615112,86.79936099052429,86.81097435951233,86.9677665233612,86.9677665233612,86.9677665233612,86.9677665233612,86.9677665233612,86.9677665233612,86.9677665233612,87.95544767379761,3,1.124962568283081,None,,,,,,,,,,,,,,,,,,87,1,2025-02-24_10h58.19.856,comp,2024.2.4,57.959354008702945,2025-02-24 10h58.39.260728 -0500,
4,4,0,catch,None,None,None,None,None,None,None,None,None,None,3,1.7713596820831299,None,,,,,0,0,0,0,0,4,4,129,87.97299289703369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,102,115,75,185,140,2.2,2.21,-184,-267,0,283,204,272,87.95737361907959,87.95744895935059,87.96034407615662,87.97299289703369,88.1136577129364,88.1136577129364,88.1136577129364,88.1136577129364,88.1136577129364,88.1136577129364,88.1136577129364,89.7469310760498,3,1.7713596820831299,None,,,,,,,,,,,,,,,,,,87,1,2025-02-24_10h58.19.856,comp,2024.2.4,57.959354008702945,2025-02-24 10h58.39.260728 -0500,
5,5,0,critical,wdh,35.0,1.0,upper,125.0,200.0,127.0,127.0,200.0,125.0,1,3.7888503074645996,None,,,,,0,0,0,0,0,5,5,73,89.76385593414307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,200.0,127.0,127.0,200.0,125.0,1.0,1.2,-260,-3,0,-2,222,15,89.74845242500305,89.748530626297,89.75253129005432,89.76385593414307,89.91649055480957,89.91649055480957,89.91649055480957,89.91649055480957,89.91649055480957,89.91649055480957,89.91649055480957,93.56421780586243,1,3.7888503074645996,None,,,,,,,,,,,,,,,,,,87,1,2025-02-24_10h58.19.856,comp,2024.2.4,57.959354008702945,2025-02-24 10h58.39.260728 -0500,
6,6,0,filler_random,None,None,None,None,None,None,None,None,None,None,1,1.8757102489471436,None,,,,,0,0,0,0,0,6,6,145,93.58000159263611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.9871048283837,160.72452866068576,72.52017821955826,138.4165519641767,76.24348799730737,107.12416542373646,1.0,1.3,234,-261,480,-289,699,-284,93.56576442718506,93.56585955619812,93.56922602653503,93.58000159263611,93.72942090034485,93.72942090034485,93.72942090034485,93.72942090034485,93.72942090034485,93.72942090034485,93.72942090034485,95.46690607070923,1,1.8757102489471436,None,,,,,,,,,,,,,,,,,,87,1,2025-02-24_10h58.19.856,comp,2024.2.4,57.959354008702945,2025-02-24 10h58.39.260728 -0500,
7,7,0,critical,dwh,20.0,2.1,upper,141.0,141.0,125.0,200.0,200.0,125.0,2,1.5319013595581055,None,,,,,0,0,0,0,0,7,7,31,95.48394298553467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,141.0,125.0,200.0,200.0,125.0,2.1,2.12,-266,-259,0,-252,258,290,95.46855092048645,95.468670129776,95.47223973274231,95.48394298553467,95.62745904922485,95.62745904922485,95.62745904922485,95.62745904922485,95.62745904922485,95.62745904922485,95.62745904922485,97.02026152610779,2,1.5319013595581055,None,,,,,,,,,,,,,,,,,,87,1,2025-02-24_10h58.19.856,comp,2024.2.4,57.959354008702945,2025-02-24 10h58.39.260728 -0500,
8,8,0,critical,dwh,20.0,4.0,lower,78.0,78.0,57.0,133.0,133.0,57.0,3,2.023714542388916,None,,,,,0,0,0,0,0,8,8,70,97.04033088684082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,78.0,57.0,133.0,133.0,57.0,4.0,4.2,-202,-9,0,-262,191,-1,97.0217113494873,97.02178859710693,97.0246229171753,97.04033088684082,97.18249654769897,97.18249654769897,97.18249654769897,97.18249654769897,97.18249654769897,97.18249654769897,97.18249654769897,99.06961560249329,3,2.023714542388916,None,,,,,,,,,,,,,,,,,,87,1,2025-02-24_10h58.19.856,comp,2024.2.4,57.959354008702945,2025-02-24 10h58.39.260728 -0500,
9,9,0,critical,hwd,35.0,3.0,upper,200.0,125.0,125.0,200.0,127.0,127.0,2,2.045738458633423,None,,,,,0,0,0,0,0,9,9,99,99.09007143974304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,125.0,125.0,200.0,127.0,127.0,3.0,3.1,-258,272,0,-11,260,-287,99.0711419582367,99.07121872901917,99.07440876960754,99.09007143974304,99.22996926307678,99.22996926307678,99.22996926307678,99.22996926307678,99.22996926307678,99.22996926307678,99.22996926307678,101.14991617202759,2,2.045738458633423,None,,,,,,,,,,,,,,,,,,87,1,2025-02-24_10h58.19.856,comp,2024.2.4,57.959354008702945,2025-02-24 10h58.39.260728 -0500,
10,10,0,critical,dhw,35.0,2.1,lower,70.0,70.0,133.0,57.0,57.0,133.0,2,1.7141807079315186,None,,,,,0,0,0,0,0,10,10,0,101.16591906547546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,70.0,133.0,57.0,57.0,133.0,2.1,2.12,-160,-269,0,-258,191,280,101.15158128738403,101.15165734291077,101.15517663955688,101.16591906547546,101.31522631645203,101.31522631645203,101.31522631645203,101.31522631645203,101.31522631645203,101.31522631645203,101.31522631645203,102.8877215385437,2,1.7141807079315186,None,,,,,,,,,,,,,,,,,,87,1,2025-02-24_10h58.19.856,comp,2024.2.4,57.959354008702945,2025-02-24 10h58.39.260728 -0500,
11,11,0,critical,wdh,35.0,3.0,upper,125.0,200.0,127.0,127.0,200.0,125.0,3,1.3483986854553223,None,,,,,0,0,0,0,0,11,11,75,102.90739440917969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,200.0,127.0,127.0,200.0,125.0,3.0,3.2,-260,-271,0,18,222,284,102.8893256187439,102.88940501213074,102.8924491405487,102.90739440917969,103.05066299438477,103.05066299438477,103.05066299438477,103.05066299438477,103.05066299438477,103.05066299438477,103.05066299438477,104.27107453346252,3,1.3483986854553223,None,,,,,,,,,,,,,,,,,,87,1,2025-02-24_10h58.19.856,comp,2024.2.4,57.959354008702945,2025-02-24 10h58.39.260728 -0500,
