thisN,thisTrialN,thisRepN,effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3,rect_choice.keys,rect_choice.rt,rect_choice.duration,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,consent.started,agree_button.started,decline_button.started,consent_img.started,mouse.started,consent.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,exp_params.started,exp_params.stopped,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,instructions_1.started,instructions_1_text_1.started,instructions_1_text_2.started,key_resp.started,instructions_1.stopped,instructions_loop.key_resp.keys,instructions_loop.key_resp.rt,instructions_loop.key_resp.duration,instructions_2.started,instructions_2_text_1.started,instructions_2_text_2.started,key_resp_2.started,instructions_2.stopped,instructions_loop.key_resp_2.keys,instructions_loop.key_resp_2.rt,instructions_loop.key_resp_2.duration,instructions_3.started,instructions_3_text_1.started,r1_instr3.started,r2_instr3.started,r3_instr3.started,r1_instr3_label.started,r2_instr3_label.started,r3_instr3_label.started,instructions_3_text_3.started,instructions_3_text_4.started,key_resp_3.started,instructions_3.stopped,instructions_loop.key_resp_3.keys,instructions_loop.key_resp_3.rt,instructions_loop.key_resp_3.duration,instructions_4.started,instructions_4_text_1.started,instructions_4_text_3.started,instructions_4_text_2.started,key_resp_4.started,instructions_4.stopped,instructions_loop.key_resp_4.keys,instructions_loop.key_resp_4.rt,instructions_loop.key_resp_4.duration,instructions_5.started,instructions_5_text_1.started,instructions_5_text_2.started,key_resp_5.started,instructions_5.stopped,instructions_loop.key_resp_5.keys,instructions_loop.key_resp_5.rt,instructions_loop.key_resp_5.duration,start_exp.started,start_exp_text.started,key_resp_6.started,start_exp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,h_1_tmp,w_1_tmp,h_2_tmp,w_2_tmp,h_3_tmp,w_3_tmp,config_tmp,config_tmp_1,r_1_x,r_1_y,r_2_x,r_2_y,r_3_x,r_3_y,pre_trial.started,pre_trial.stopped,choice_trial.started,rect_choice.started,r_1.started,r_2.started,r_3.started,r_1_label.started,r_2_label.started,r_3_label.started,prompt.started,choice_trial.stopped,trials.rect_choice.keys,trials.rect_choice.rt,trials.rect_choice.duration,end_block.started,end_block_text.started,end_block.stopped,end.started,end_text.started,key_resp_7.started,end.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,debriefing.started,debrief_form.started,end_debrief.started,debriefing.stopped,end_debrief.keys,end_debrief.rt,end_debrief.duration,participant,computer,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015911102294921875,0.04216957092285156,0.04216957092285156,0.04216957092285156,0.015417098999023438,39.39829921722412,1,[39.354957818984985],[39.354968786239624],0,,,[-118.0],[-540.0],[1],[0],[0],[39.38184881210327],['agree_button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,3,2025-03-10_10h56.38.326,comp,2024.2.4,60.09720311783585,2025-03-10 10h57.11.725538 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.39854621887207,39.39857769012451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,3,2025-03-10_10h56.38.326,comp,2024.2.4,60.09720311783585,2025-03-10 10h57.11.725538 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.398598432540894,39.41178846359253,41.41538166999817,41.39867687225342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,3,2025-03-10_10h56.38.326,comp,2024.2.4,60.09720311783585,2025-03-10 10h57.11.725538 -0400,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,41.41538166999817,,,,,,,,,,,,,,,,,,,,,,,,,,,41.399221658706665,41.41538166999817,41.41538166999817,42.898590087890625,44.53333044052124,space,1.6169886589050293,None,44.53341007232666,44.5487425327301,44.5487425327301,46.048622369766235,49.71643424034119,space,3.6503493785858154,None,49.71651768684387,49.738131046295166,49.738131046295166,49.738131046295166,49.738131046295166,49.738131046295166,49.738131046295166,49.738131046295166,49.738131046295166,49.738131046295166,51.21567893028259,58.766870975494385,space,7.538100004196167,None,58.766955852508545,58.78217029571533,58.78217029571533,58.78217029571533,60.28187322616577,63.48336887359619,space,3.192772150039673,None,63.48345184326172,63.498794078826904,63.498794078826904,64.99840044975281,65.83339500427246,space,0.8193995952606201,None,65.83350563049316,65.84890079498291,65.84890079498291,67.09942770004272,space,1.2333862781524658,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,3,2025-03-10_10h56.38.326,comp,2024.2.4,60.09720311783585,2025-03-10 10h57.11.725538 -0400,
0,0,0,critical,wdh,35.0,2.1,lower,57.0,133.0,70.0,70.0,133.0,57.0,1,11.667840719223022,None,,,,,0,0,0,0,0,0,0,32,67.15879511833191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,133.0,70.0,70.0,133.0,57.0,2.1,2.11,-198,284,0,259,160,-272,67.14541578292847,67.14545917510986,67.14741468429565,67.15879511833191,67.30521130561829,67.30521130561829,67.30521130561829,67.30521130561829,67.30521130561829,67.30521130561829,67.30521130561829,78.83280229568481,1,11.667840719223022,None,,,,,,,,,,,,,,,,,,221,3,2025-03-10_10h56.38.326,comp,2024.2.4,60.09720311783585,2025-03-10 10h57.11.725538 -0400,
1,1,0,critical,whd,35.0,4.0,upper,125.0,200.0,200.0,125.0,127.0,127.0,2,7.593937158584595,None,,,,,0,0,0,0,0,1,1,89,78.84852838516235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,200.0,200.0,125.0,127.0,127.0,4.0,4.2,-258,-17,0,-278,222,-18,78.83386564254761,78.83390378952026,78.83635973930359,78.84852838516235,78.99902510643005,78.99902510643005,78.99902510643005,78.99902510643005,78.99902510643005,78.99902510643005,78.99902510643005,86.44975233078003,2,7.593937158584595,None,,,,,,,,,,,,,,,,,,221,3,2025-03-10_10h56.38.326,comp,2024.2.4,60.09720311783585,2025-03-10 10h57.11.725538 -0400,
2,2,0,critical,dhw,20.0,1.0,lower,78.0,78.0,133.0,57.0,57.0,133.0,2,4.600557327270508,None,,,,,0,0,0,0,0,2,2,54,86.46512460708618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,78.0,133.0,57.0,57.0,133.0,1.0,1.1,-644,280,-480,287,-289,277,86.4505684375763,86.450608253479,86.45302271842957,86.46512460708618,86.61511588096619,86.61511588096619,86.61511588096619,86.61511588096619,86.61511588096619,86.61511588096619,86.61511588096619,91.08273649215698,2,4.600557327270508,None,,,,,,,,,,,,,,,,,,221,3,2025-03-10_10h56.38.326,comp,2024.2.4,60.09720311783585,2025-03-10 10h57.11.725538 -0400,
3,3,0,filler_square,None,None,None,None,None,None,None,None,None,None,3,2.95137357711792,None,,,,,0,0,0,0,0,3,3,208,91.0982666015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.29334576154895,66.13168698308597,95.94212533372269,60.36746842425763,105.51747647378536,105.51747647378536,2.1,2.12,-159,-263,0,-280,179,261,91.08373808860779,91.08377766609192,91.0861496925354,91.0982666015625,91.2484061717987,91.2484061717987,91.2484061717987,91.2484061717987,91.2484061717987,91.2484061717987,91.2484061717987,94.06615471839905,3,2.95137357711792,None,,,,,,,,,,,,,,,,,,221,3,2025-03-10_10h56.38.326,comp,2024.2.4,60.09720311783585,2025-03-10 10h57.11.725538 -0400,
4,4,0,catch,None,None,None,None,None,None,None,None,None,None,1,2.368072986602783,None,,,,,0,0,0,0,0,4,4,129,94.08157205581665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,191,97,93,78,112,1.0,1.1,-718,265,-480,261,-282,274,94.06720352172852,94.06724381446838,94.06924510002136,94.08157205581665,94.23183560371399,94.23183560371399,94.23183560371399,94.23183560371399,94.23183560371399,94.23183560371399,94.23183560371399,96.4662652015686,1,2.368072986602783,None,,,,,,,,,,,,,,,,,,221,3,2025-03-10_10h56.38.326,comp,2024.2.4,60.09720311783585,2025-03-10 10h57.11.725538 -0400,
5,5,0,critical,dwh,20.0,3.0,upper,141.0,141.0,125.0,200.0,200.0,125.0,3,5.217153787612915,None,,,,,0,0,0,0,0,5,5,69,96.4816575050354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,141.0,125.0,200.0,200.0,125.0,3.0,3.1,-266,261,0,-9,258,-283,96.46707797050476,96.46711683273315,96.46919846534729,96.4816575050354,96.63187217712402,96.63187217712402,96.63187217712402,96.63187217712402,96.63187217712402,96.63187217712402,96.63187217712402,101.71625828742981,3,5.217153787612915,None,,,,,,,,,,,,,,,,,,221,3,2025-03-10_10h56.38.326,comp,2024.2.4,60.09720311783585,2025-03-10 10h57.11.725538 -0400,
