thisN,thisTrialN,thisRepN,effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3,rect_choice.keys,rect_choice.rt,rect_choice.duration,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,consent.started,agree_button.started,decline_button.started,consent_img.started,mouse.started,consent.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,exp_params.started,exp_params.stopped,welcome.started,welcome_text.started,welcome.stopped,instructions_1.started,instructions_1_text_1.started,instructions_1_text_2.started,key_resp.started,instructions_1.stopped,instructions_loop.key_resp.keys,instructions_loop.key_resp.rt,instructions_loop.key_resp.duration,instructions_2.started,instructions_2_text_1.started,instructions_2_text_2.started,key_resp_2.started,instructions_2.stopped,instructions_loop.key_resp_2.keys,instructions_loop.key_resp_2.rt,instructions_loop.key_resp_2.duration,instructions_3.started,instructions_3_text_1.started,r1_instr3.started,r2_instr3.started,r3_instr3.started,r1_instr3_label.started,r2_instr3_label.started,r3_instr3_label.started,instructions_3_text_3.started,instructions_3_text_4.started,key_resp_3.started,instructions_3.stopped,instructions_loop.key_resp_3.keys,instructions_loop.key_resp_3.rt,instructions_loop.key_resp_3.duration,instructions_4.started,instructions_4_text_1.started,instructions_4_text_3.started,instructions_4_text_2.started,key_resp_4.started,instructions_4.stopped,instructions_loop.key_resp_4.keys,instructions_loop.key_resp_4.rt,instructions_loop.key_resp_4.duration,instructions_5.started,instructions_5_text_1.started,instructions_5_text_2.started,key_resp_5.started,instructions_5.stopped,instructions_loop.key_resp_5.keys,instructions_loop.key_resp_5.rt,instructions_loop.key_resp_5.duration,start_exp.started,start_exp_text.started,key_resp_6.started,start_exp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,h_1_tmp,w_1_tmp,h_2_tmp,w_2_tmp,h_3_tmp,w_3_tmp,config_tmp,config_tmp_1,r_1_x,r_1_y,r_2_x,r_2_y,r_3_x,r_3_y,pre_trial.started,pre_trial.stopped,choice_trial.started,rect_choice.started,r_1.started,r_2.started,r_3.started,r_1_label.started,r_2_label.started,r_3_label.started,prompt.started,print_config.started,print_effect.started,print_config_1.started,print_distance.started,choice_trial.stopped,trials.rect_choice.keys,trials.rect_choice.rt,trials.rect_choice.duration,end_block.started,end_block_text.started,end_block.stopped,end.started,end_text.started,key_resp_7.started,end.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,debriefing.started,debrief_form.started,end_debrief.started,debriefing.stopped,end_debrief.keys,end_debrief.rt,end_debrief.duration,participant,computer,date,expName,psychopyVersion,frameRate,expStart,
6,6,0,critical,dhw,60.0,2.1,upper,100.0,100.0,200.0,125.0,125.0,200.0,2,0.7900786399841309,None,,,,,0,0,0,0,0,6,6,27,23.845324993133545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,200.0,125.0,125.0,200.0,2.1,2.11,-208,260,0,276,258,-282,23.820884943008423,23.821331024169922,23.833249807357788,23.845324993133545,23.988925218582153,23.988925218582153,23.988925218582153,23.988925218582153,23.988925218582153,23.988925218582153,23.988925218582153,23.988925218582153,23.988925218582153,23.988925218582153,23.988925218582153,24.653794288635254,2,0.7900786399841309,None,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
7,7,0,filler_square,None,None,None,None,None,None,None,None,None,None,3,0.9916670322418213,None,,,,,0,0,0,0,0,7,7,205,24.68134880065918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.91541702118877,61.76755133445216,103.22953035986492,103.22953035986492,85.64802498422554,77.61756478219893,1.0,1.2,-178,-12,0,19,186,-2,24.654698133468628,24.655237913131714,24.66985774040222,24.68134880065918,24.8225314617157,24.8225314617157,24.8225314617157,24.8225314617157,24.8225314617157,24.8225314617157,24.8225314617157,24.8225314617157,24.8225314617157,24.8225314617157,24.8225314617157,25.686893939971924,3,0.9916670322418213,None,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
8,8,0,filler_random,None,None,None,None,None,None,None,None,None,None,2,1.0513455867767334,None,,,,,0,0,0,0,0,8,8,155,25.71858048439026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.4795615498624,158.75753865926328,60.59579956467061,174.31752719590264,178.7781355860805,122.38154517547557,2.2,2.21,-263,-267,0,270,244,288,25.68779754638672,25.688281297683716,25.706595420837402,25.71858048439026,25.858519554138184,25.858519554138184,25.858519554138184,25.858519554138184,25.858519554138184,25.858519554138184,25.858519554138184,25.858519554138184,25.858519554138184,25.858519554138184,25.858519554138184,26.78682827949524,2,1.0513455867767334,None,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
9,9,0,critical,dwh,45.0,1.0,upper,117.0,117.0,125.0,200.0,200.0,125.0,1,0.7628087997436523,None,,,,,0,0,0,0,0,9,9,61,26.81516671180725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,117.0,125.0,200.0,200.0,125.0,1.0,1.2,-254,9,0,-10,258,18,26.78760051727295,26.788320064544678,26.80358076095581,26.81516671180725,26.955520629882812,26.955520629882812,26.955520629882812,26.955520629882812,26.955520629882812,26.955520629882812,26.955520629882812,26.955520629882812,26.955520629882812,26.955520629882812,26.955520629882812,27.587132692337036,1,0.7628087997436523,None,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
10,10,0,filler_random,None,None,None,None,None,None,None,None,None,None,3,0.7456927299499512,None,,,,,0,0,0,0,0,10,10,147,27.616400003433228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.00140590177125,162.29663708736518,104.90676584513383,101.41710023849637,98.20169078669113,159.4675433014931,4.0,4.2,-228,-18,0,-279,226,7,27.58807134628296,27.588613271713257,27.604585886001587,27.616400003433228,27.755556106567383,27.755556106567383,27.755556106567383,27.755556106567383,27.755556106567383,27.755556106567383,27.755556106567383,27.755556106567383,27.755556106567383,27.755556106567383,27.755556106567383,28.370542287826538,3,0.7456927299499512,None,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
11,11,0,critical,whd,45.0,3.0,lower,57.0,133.0,133.0,57.0,65.0,65.0,2,1.3376429080963135,None,,,,,0,0,0,0,0,11,11,86,28.399399280548096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,133.0,133.0,57.0,65.0,65.0,3.0,3.2,-191,-287,0,-19,157,258,28.371326684951782,28.37183141708374,28.387563467025757,28.399399280548096,28.53923749923706,28.53923749923706,28.53923749923706,28.53923749923706,28.53923749923706,28.53923749923706,28.53923749923706,28.53923749923706,28.53923749923706,28.53923749923706,28.53923749923706,29.75314450263977,2,1.3376429080963135,None,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
12,12,0,filler_random,None,None,None,None,None,None,None,None,None,None,2,10.19582724571228,None,,,,,0,0,0,0,0,12,12,165,29.782612800598145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.31060014833213,186.60449154596202,199.6514442883988,121.47685337855653,185.70667447438075,63.838436490044245,2.2,2.21,-250,-264,0,261,189,282,29.754037141799927,29.7545428276062,29.770474672317505,29.782612800598145,29.9222674369812,29.9222674369812,29.9222674369812,29.9222674369812,29.9222674369812,29.9222674369812,29.9222674369812,29.9222674369812,29.9222674369812,29.9222674369812,29.9222674369812,39.98688244819641,2,10.19582724571228,None,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
13,13,0,catch,None,None,None,None,None,None,None,None,None,None,1,2.361874580383301,None,,,,,0,0,0,0,0,13,13,123,40.01637315750122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,162,78,112,62,128,3.0,3.1,-233,288,0,0,216,-279,39.98794746398926,39.98934507369995,40.004427671432495,40.01637315750122,40.15578103065491,40.15578103065491,40.15578103065491,40.15578103065491,40.15578103065491,40.15578103065491,40.15578103065491,40.15578103065491,40.15578103065491,40.15578103065491,40.15578103065491,42.38670635223389,1,2.361874580383301,None,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
14,14,0,filler_square,None,None,None,None,None,None,None,None,None,None,2,2.9374539852142334,None,,,,,0,0,0,0,0,14,14,203,42.415372133255005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.56799239296954,105.26555910822992,70.78062296812732,89.5483509863048,126.4800405176909,126.4800405176909,2.2,2.22,-193,282,0,-271,204,-267,42.38761854171753,42.38814043998718,42.40347456932068,42.415372133255005,42.55551314353943,42.55551314353943,42.55551314353943,42.55551314353943,42.55551314353943,42.55551314353943,42.55551314353943,42.55551314353943,42.55551314353943,42.55551314353943,42.55551314353943,45.36989092826843,2,2.9374539852142334,None,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
15,15,0,critical,whd,45.0,4.0,lower,57.0,133.0,133.0,57.0,65.0,65.0,1,0.4202713966369629,None,,,,,0,0,0,0,0,15,15,88,45.399118185043335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,133.0,133.0,57.0,65.0,65.0,4.0,4.1,-191,-252,0,-12,157,-275,45.37063431739807,45.37130808830261,45.38692665100098,45.399118185043335,45.538480281829834,45.538480281829834,45.538480281829834,45.538480281829834,45.538480281829834,45.538480281829834,45.538480281829834,45.538480281829834,45.538480281829834,45.538480281829834,45.538480281829834,45.83706283569336,1,0.4202713966369629,None,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
