effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3
critical,hdw,20,4,lower,133,57,78,78,57,133
critical,hdw,20,4,upper,200,125,141,141,125,200
catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
